time,x,y,theta
9100000.00000,0.88376,2.43023,0.43830
9126000.00000,0.88376,2.43023,0.39992
9152000.00000,0.88376,2.43023,0.39992
9178000.00000,0.88376,2.43023,0.39992
9204000.00000,0.92212,2.43023,0.39992
9230000.00000,0.92212,2.44732,0.39992
9256000.00000,0.92212,2.44732,0.39992
9282000.00000,0.92212,2.44732,0.34852
9308000.00000,0.92212,2.44732,0.34852
9334000.00000,0.92212,2.44732,0.34852
9360000.00000,0.96147,2.46277,0.34852
9386000.00000,0.96147,2.46277,0.34852
9412000.00000,0.96147,2.46277,0.29820
9438000.00000,0.96147,2.46277,0.29820
9464000.00000,0.96147,2.46277,0.29820
9490000.00000,1.00046,2.46277,0.29820
9516000.00000,1.00046,2.47584,0.29820
9542000.00000,1.00046,2.47584,0.29820
9568000.00000,1.00046,2.47584,0.26764
9594000.00000,1.00046,2.47584,0.26764
9620000.00000,1.00046,2.47584,0.26764
9646000.00000,1.03933,2.48714,0.26764
9672000.00000,1.03933,2.48714,0.26764
9698000.00000,1.03933,2.48714,0.23836
9724000.00000,1.03933,2.48714,0.23836
9750000.00000,1.03933,2.48714,0.23836
9776000.00000,1.08049,2.48714,0.23836
9802000.00000,1.08049,2.49778,0.23836
9828000.00000,1.08049,2.49778,0.23836
9854000.00000,1.08049,2.49778,0.18656
9880000.00000,1.08049,2.49778,0.18656
9906000.00000,1.08049,2.49778,0.18656
9932000.00000,1.12429,2.50723,0.18656
9958000.00000,1.12429,2.50723,0.18656
9984000.00000,1.12429,2.50723,0.12423
10010000.00000,1.12429,2.50723,0.12423
10036000.00000,1.12429,2.50723,0.12423
10062000.00000,1.16786,2.50723,0.12423
10088000.00000,1.16786,2.51405,0.12423
10127000.00000,1.16786,2.51405,0.04949
10153000.00000,1.16786,2.51405,0.04949
10179000.00000,1.16786,2.51405,0.04949
10205000.00000,1.21058,2.51405,0.04949
10231000.00000,1.21058,2.51777,0.04949
10257000.00000,1.21058,2.51777,0.04949
10283000.00000,1.21058,2.51777,-0.07888
10309000.00000,1.21058,2.51777,-0.07888
10335000.00000,1.21058,2.51777,-0.07888
10361000.00000,1.25477,2.51712,-0.07888
10387000.00000,1.25477,2.51712,-0.07888
10413000.00000,1.25477,2.51712,-0.19915
10439000.00000,1.25477,2.51712,-0.19915
10465000.00000,1.25477,2.51712,-0.19915
10491000.00000,1.29654,2.51712,-0.19915
10517000.00000,1.29654,2.51128,-0.19915
10543000.00000,1.29654,2.51128,-0.19915
10569000.00000,1.29654,2.51128,-0.29068
10595000.00000,1.29654,2.51128,-0.29068
10621000.00000,1.29654,2.51128,-0.29068
10647000.00000,1.33518,2.50162,-0.29068
10673000.00000,1.33518,2.50162,-0.29068
10699000.00000,1.33518,2.50162,-0.42000
10725000.00000,1.33518,2.50162,-0.42000
10751000.00000,1.33518,2.50162,-0.42000
10777000.00000,1.37059,2.50162,-0.42000
10803000.00000,1.37059,2.48848,-0.42000
10829000.00000,1.37059,2.48848,-0.42000
10855000.00000,1.37059,2.48848,-0.64388
10881000.00000,1.37059,2.48848,-0.64388
10907000.00000,1.37059,2.48848,-0.64388
10933000.00000,1.40431,2.46864,-0.64388
10959000.00000,1.40431,2.46864,-0.64388
10985000.00000,1.40431,2.46864,-0.84604
11011000.00000,1.40431,2.46864,-0.84604
11037000.00000,1.40431,2.46864,-0.84604
11063000.00000,1.43650,2.46864,-0.84604
11089000.00000,1.43650,2.43895,-0.84604
11115000.00000,1.43650,2.43895,-0.84604
11141000.00000,1.43650,2.43895,-0.97818
11167000.00000,1.43650,2.43895,-0.97818
11193000.00000,1.43650,2.43895,-0.97818
11219000.00000,1.46300,2.40472,-0.97818
11245000.00000,1.46300,2.40472,-0.97818
11271000.00000,1.46300,2.40472,-1.09029
11297000.00000,1.46300,2.40472,-1.09029
11323000.00000,1.46300,2.40472,-1.09029
11349000.00000,1.48514,2.40472,-1.09029
11375000.00000,1.48514,2.36748,-1.09029
11401000.00000,1.48514,2.36748,-1.09029
11427000.00000,1.48514,2.36748,-1.17852
11453000.00000,1.48514,2.36748,-1.17852
11479000.00000,1.48514,2.36748,-1.17852
11505000.00000,1.50272,2.32979,-1.17852
11531000.00000,1.50272,2.32979,-1.17852
11557000.00000,1.50272,2.32979,-1.22264
11583000.00000,1.50272,2.32979,-1.22264
11609000.00000,1.50272,2.32979,-1.22264
11635000.00000,1.51738,2.32979,-1.22264
11661000.00000,1.51738,2.29201,-1.22264
11687000.00000,1.51738,2.29201,-1.22264
11713000.00000,1.51738,2.29201,-1.23121
11739000.00000,1.51738,2.29201,-1.23121
11765000.00000,1.51738,2.29201,-1.23121
11791000.00000,1.53107,2.25379,-1.23121
11817000.00000,1.53107,2.25379,-1.23121
11843000.00000,1.53107,2.25379,-1.25360
11869000.00000,1.53107,2.25379,-1.25360
11895000.00000,1.53107,2.25379,-1.25360
11921000.00000,1.54446,2.25379,-1.25360
11947000.00000,1.54446,2.21451,-1.25360
11973000.00000,1.54446,2.21451,-1.25360
11999000.00000,1.54446,2.21451,-1.28753
12025000.00000,1.54446,2.21451,-1.28753
12051000.00000,1.54446,2.21451,-1.28753
12077000.00000,1.55670,2.17495,-1.28753
12103000.00000,1.55670,2.17495,-1.28753
12129000.00000,1.55670,2.17495,-1.31795
12155000.00000,1.55670,2.17495,-1.31795
12181000.00000,1.55670,2.17495,-1.31795
12207000.00000,1.56765,2.17495,-1.31795
12233000.00000,1.56765,2.13507,-1.31795
12259000.00000,1.56765,2.13507,-1.31795
12285000.00000,1.56765,2.13507,-1.33752
12311000.00000,1.56765,2.13507,-1.33752
12337000.00000,1.56765,2.13507,-1.33752
12363000.00000,1.57749,2.09541,-1.33752
12389000.00000,1.57749,2.09541,-1.33752
12415000.00000,1.57749,2.09541,-1.34203
12441000.00000,1.57749,2.09541,-1.34203
12467000.00000,1.57749,2.09541,-1.34203
12493000.00000,1.58690,2.09541,-1.34203
12519000.00000,1.58690,2.05539,-1.34203
12545000.00000,1.58690,2.05539,-1.34203
12571000.00000,1.58690,2.05539,-1.33421
12597000.00000,1.58690,2.05539,-1.33421
12623000.00000,1.58690,2.05539,-1.33421
12649000.00000,1.59635,2.01554,-1.33421
12675000.00000,1.59635,2.01554,-1.33421
12701000.00000,1.59635,2.01554,-1.32234
12727000.00000,1.59635,2.01554,-1.32234
12753000.00000,1.59635,2.01554,-1.32234
12779000.00000,1.60642,2.01554,-1.32234
12805000.00000,1.60642,1.97483,-1.32234
12831000.00000,1.60642,1.97483,-1.32234
12857000.00000,1.60642,1.97483,-1.31822
12883000.00000,1.60642,1.97483,-1.31822
12909000.00000,1.60642,1.97483,-1.31822
12935000.00000,1.61703,1.93335,-1.31822
12961000.00000,1.61703,1.93335,-1.31822
12987000.00000,1.61703,1.93335,-1.33131
13013000.00000,1.61703,1.93335,-1.33131
13039000.00000,1.61703,1.93335,-1.33131
13065000.00000,1.62759,1.93335,-1.33131
13091000.00000,1.62759,1.89131,-1.33131
13117000.00000,1.62759,1.89131,-1.33131
13143000.00000,1.62759,1.89131,-1.35687
13169000.00000,1.62759,1.89131,-1.35687
13195000.00000,1.62759,1.89131,-1.35687
13221000.00000,1.63739,1.84880,-1.35687
13247000.00000,1.63739,1.84880,-1.35687
13273000.00000,1.63739,1.84880,-1.40463
13299000.00000,1.63739,1.84880,-1.40463
13325000.00000,1.63739,1.84880,-1.40463
13351000.00000,1.64584,1.84880,-1.40463
13377000.00000,1.64584,1.80487,-1.40463
13403000.00000,1.64584,1.80487,-1.40463
13429000.00000,1.64584,1.80487,-1.45556
13455000.00000,1.64584,1.80487,-1.45556
13481000.00000,1.64584,1.80487,-1.45556
13507000.00000,1.65187,1.76234,-1.45556
13533000.00000,1.65187,1.76234,-1.45556
13559000.00000,1.65187,1.76234,-1.48942
13585000.00000,1.65187,1.76234,-1.48942
13611000.00000,1.65187,1.76234,-1.48942
13637000.00000,1.65587,1.76234,-1.48942
13663000.00000,1.65587,1.72178,-1.48942
13689000.00000,1.65587,1.72178,-1.48942
13715000.00000,1.65587,1.72178,-1.50575
13741000.00000,1.65587,1.72178,-1.50575
13767000.00000,1.65587,1.72178,-1.50575
13793000.00000,1.65883,1.68136,-1.50575
13819000.00000,1.65883,1.68136,-1.50575
13845000.00000,1.65883,1.68136,-1.53246
13871000.00000,1.65883,1.68136,-1.53246
13897000.00000,1.65883,1.68136,-1.53246
13923000.00000,1.66098,1.68136,-1.53246
13949000.00000,1.66098,1.63978,-1.53246
13975000.00000,1.66098,1.63978,-1.53246
14001000.00000,1.66098,1.63978,-1.55324
14027000.00000,1.66098,1.63978,-1.55324
14053000.00000,1.66098,1.63978,-1.55324
14079000.00000,1.66213,1.59877,-1.55324
14105000.00000,1.66213,1.59877,-1.55324
14131000.00000,1.66213,1.59877,-1.55742
14157000.00000,1.66213,1.59877,-1.55742
14183000.00000,1.66213,1.59877,-1.55742
14209000.00000,1.66276,1.59877,-1.55742
14235000.00000,1.66276,1.55783,-1.55742
14261000.00000,1.66276,1.55783,-1.55742
14287000.00000,1.66276,1.55783,-1.54123
14313000.00000,1.66276,1.55783,-1.54123
14339000.00000,1.66276,1.55783,-1.54123
14365000.00000,1.66366,1.51622,-1.54123
14391000.00000,1.66366,1.51622,-1.54123
14417000.00000,1.66366,1.51622,-1.51998
14443000.00000,1.66366,1.51622,-1.51998
14469000.00000,1.66366,1.51622,-1.51998
14495000.00000,1.66535,1.51622,-1.51998
14521000.00000,1.66535,1.47412,-1.51998
14547000.00000,1.66535,1.47412,-1.51998
14573000.00000,1.66535,1.47412,-1.51937
14599000.00000,1.66535,1.47412,-1.51937
14625000.00000,1.66535,1.47412,-1.51937
14651000.00000,1.66755,1.43115,-1.51937
14677000.00000,1.66755,1.43115,-1.51937
14703000.00000,1.66755,1.43115,-1.54487
14729000.00000,1.66755,1.43115,-1.54487
14755000.00000,1.66755,1.43115,-1.54487
14781000.00000,1.66923,1.43115,-1.54487
14807000.00000,1.66923,1.38784,-1.54487
14833000.00000,1.66923,1.38784,-1.54487
14859000.00000,1.66923,1.38784,-1.58865
14885000.00000,1.66923,1.38784,-1.58865
14911000.00000,1.66923,1.38784,-1.58865
14937000.00000,1.66940,1.34459,-1.58865
14963000.00000,1.66940,1.34459,-1.58865
14989000.00000,1.66940,1.34459,-1.63330
15015000.00000,1.66940,1.34459,-1.63330
15041000.00000,1.66940,1.34459,-1.63330
15067000.00000,1.66772,1.34459,-1.63330
15093000.00000,1.66772,1.30276,-1.63330
15119000.00000,1.66772,1.30276,-1.63330
15155000.00000,1.66772,1.30276,-1.66953
15181000.00000,1.66772,1.30276,-1.66953
15207000.00000,1.66443,1.30276,-1.66953
15233000.00000,1.66443,1.26202,-1.66953
15259000.00000,1.66443,1.26202,-1.66953
15285000.00000,1.66443,1.26202,-1.72052
15311000.00000,1.66443,1.26202,-1.72052
15337000.00000,1.66443,1.26202,-1.72052
15363000.00000,1.65922,1.22034,-1.72052
15389000.00000,1.65922,1.22034,-1.72052
15415000.00000,1.65922,1.22034,-1.77219
15441000.00000,1.65922,1.22034,-1.77219
15467000.00000,1.65922,1.22034,-1.77219
15493000.00000,1.65213,1.22034,-1.77219
15519000.00000,1.65213,1.18034,-1.77219
15545000.00000,1.65213,1.18034,-1.77219
15571000.00000,1.65213,1.18034,-1.79918
15597000.00000,1.65213,1.18034,-1.79918
15623000.00000,1.65213,1.18034,-1.79918
15649000.00000,1.64354,1.14101,-1.79918
15675000.00000,1.64354,1.14101,-1.79918
15701000.00000,1.64354,1.14101,-1.80929
15727000.00000,1.64354,1.14101,-1.80929
15753000.00000,1.64354,1.14101,-1.80929
15779000.00000,1.63397,1.14101,-1.80929
15805000.00000,1.63397,1.10075,-1.80929
15831000.00000,1.63397,1.10075,-1.80929
15857000.00000,1.63397,1.10075,-1.82946
15883000.00000,1.63397,1.10075,-1.82946
15909000.00000,1.63397,1.10075,-1.82946
15935000.00000,1.62348,1.05941,-1.82946
15961000.00000,1.62348,1.05941,-1.82946
15987000.00000,1.62348,1.05941,-1.86022
16013000.00000,1.62348,1.05941,-1.86022
16039000.00000,1.62348,1.05941,-1.86022
16065000.00000,1.61190,1.05941,-1.86022
16091000.00000,1.61190,1.01825,-1.86022
16117000.00000,1.61190,1.01825,-1.86022
16143000.00000,1.61190,1.01825,-1.89341
16169000.00000,1.61190,1.01825,-1.89341
16195000.00000,1.61190,1.01825,-1.89341
16221000.00000,1.59923,0.97812,-1.89341
16247000.00000,1.59923,0.97812,-1.89341
16273000.00000,1.59923,0.97812,-1.93901
